starttime	seconds	ctime	dtime	ttime	wait
Thu Feb 05 12:58:32 2015	1423159112	0	23	23	21
Thu Feb 05 12:58:32 2015	1423159112	0	30	30	27
Thu Feb 05 12:58:32 2015	1423159112	0	40	40	38
Thu Feb 05 12:58:32 2015	1423159112	0	41	41	38
Thu Feb 05 12:58:32 2015	1423159112	0	50	50	47
Thu Feb 05 12:58:32 2015	1423159112	0	52	52	49
Thu Feb 05 12:58:32 2015	1423159112	0	52	52	45
Thu Feb 05 12:58:32 2015	1423159112	0	53	53	50
Thu Feb 05 12:58:32 2015	1423159112	0	55	55	48
Thu Feb 05 12:58:32 2015	1423159112	0	55	55	53
Thu Feb 05 12:58:32 2015	1423159112	1	54	55	51
Thu Feb 05 12:58:32 2015	1423159112	0	56	57	42
Thu Feb 05 12:58:32 2015	1423159112	0	59	59	56
Thu Feb 05 12:58:32 2015	1423159112	1	58	59	54
Thu Feb 05 12:58:32 2015	1423159112	0	59	59	47
Thu Feb 05 12:58:32 2015	1423159112	0	59	59	58
Thu Feb 05 12:58:32 2015	1423159112	1	61	62	58
Thu Feb 05 12:58:32 2015	1423159112	0	62	62	60
Thu Feb 05 12:58:32 2015	1423159112	0	63	63	59
Thu Feb 05 12:58:32 2015	1423159112	0	66	66	44
Thu Feb 05 12:58:32 2015	1423159112	0	67	67	66
Thu Feb 05 12:58:32 2015	1423159112	0	69	69	67
Thu Feb 05 12:58:32 2015	1423159112	0	69	69	67
Thu Feb 05 12:58:32 2015	1423159112	0	71	71	61
Thu Feb 05 12:58:32 2015	1423159112	0	75	75	65
Thu Feb 05 12:58:32 2015	1423159112	1	75	76	73
Thu Feb 05 12:58:32 2015	1423159112	0	87	87	71
Thu Feb 05 12:58:32 2015	1423159112	1	87	88	74
Thu Feb 05 12:58:32 2015	1423159112	1	106	107	101
Thu Feb 05 12:58:32 2015	1423159112	1	111	113	109
